Round,Date,Home Team,Home Result,Away Team,Away Result,Venue,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 9,20180504,Knights,,Rabbitohs,,McDonald Jones Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 9,20180504,Panthers,,Cowboys,,Carrington Park,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 9,20180505,Raiders,,Titans,,GIO Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 9,20180505,Warriors,,Tigers,,Mt Smart Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 9,20180505,Sharks,,Eels,,Southern Cross Group Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 9,20180506,Dragons,,Storm,,UOW Jubilee Oval,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 9,20180506,Roosters,,Sea Eagles,,Allianz Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 10,20180510,Tigers,,Cowboys,,Leichhardt Oval,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 10,20180511,Knights,,Panthers,,McDonald Jones Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 10,20180511,Bulldogs,,Eels,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 10,20180512,Warriors,,Roosters,,Mt Smart Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 10,20180512,Storm,,Titans,,Suncorp Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 10,20180512,Sea Eagles,,Broncos,,Suncorp Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 10,20180513,Rabbitohs,,Dragons,,ANZ Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 10,20180513,Raiders,,Sharks,,GIO Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 11,20180517,Panthers,,Tigers,,Panthers Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 11,20180518,Eels,,Warriors,,ANZ Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 11,20180518,Broncos,,Roosters,,Suncorp Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 11,20180519,Titans,,Knights,,Cbus Super Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 11,20180519,Cowboys,,Rabbitohs,,1300SMILES Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 11,20180519,Storm,,Sea Eagles,,AAMI Park,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 11,20180520,Dragons,,Raiders,,Glen Willow Oval,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 11,20180520,Sharks,,Bulldogs,,Southern Cross Group Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 12,20180524,Broncos,,Eels,,Suncorp Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 12,20180525,Raiders,,Sea Eagles,,GIO Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 12,20180525,Cowboys,,Storm,,1300SMILES Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 12,20180526,Roosters,,Titans,,Central Coast Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 12,20180526,Warriors,,Rabbitohs,,Mt Smart Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 12,20180526,Panthers,,Dragons,,Panthers Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 12,20180527,Knights,,Sharks,,McDonald Jones Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 12,20180527,Tigers,,Bulldogs,,ANZ Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 13,20180531,Sea Eagles,,Cowboys,,Lottoland,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 13,20180601,Rabbitohs,,Sharks,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 13,20180602,Eels,,Knights,,ANZ Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 13,20180603,Roosters,,Tigers,,Allianz Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 14,20180608,Raiders,,Panthers,,GIO Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 14,20180608,Titans,,Rabbitohs,,Cbus Super Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 14,20180609,Sea Eagles,,Warriors,,AMI Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 14,20180609,Knights,,Roosters,,McDonald Jones Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 14,20180609,Eels,,Cowboys,,TIO Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 14,20180610,Sharks,,Tigers,,Southern Cross Group Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 14,20180610,Storm,,Broncos,,AAMI Park,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 14,20180611,Bulldogs,,Dragons,,ANZ Stadium,4:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 15,20180614,Eels,,Rabbitohs,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 15,20180615,Cowboys,,Warriors,,1300SMILES Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 15,20180615,Roosters,,Panthers,,Allianz Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 15,20180616,Bulldogs,,Titans,,Belmore Sports Ground,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 15,20180616,Dragons,,Sea Eagles,,WIN Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 15,20180616,Sharks,,Broncos,,Southern Cross Group Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 15,20180617,Knights,,Storm,,McDonald Jones Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 15,20180617,Tigers,,Raiders,,Campbelltown Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 16,20180628,Dragons,,Eels,,WIN Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 16,20180629,Warriors,,Sharks,,Mt Smart Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 16,20180629,Roosters,,Storm,,Allianz Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 16,20180630,Panthers,,Sea Eagles,,Panthers Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 16,20180630,Knights,,Bulldogs,,McDonald Jones Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 16,20180630,Broncos,,Raiders,,Suncorp Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 16,20180701,Tigers,,Titans,,Leichhardt Oval,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 16,20180701,Rabbitohs,,Cowboys,,Barlow Park,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 17,20180705,Storm,,Dragons,,AAMI Park,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
